species,label_idx,filepath,fold
Carduelis carduelis,0,Carduelis carduelis/0.jpg,0
Carduelis carduelis,0,Carduelis carduelis/1.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/2.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/3.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/4.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/5.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/6.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/7.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/8.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/9.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/10.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/11.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/12.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/13.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/14.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/15.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/16.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/17.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/18.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/19.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/20.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/21.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/22.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/23.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/24.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/25.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/26.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/27.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/28.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/29.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/30.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/31.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/32.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/33.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/34.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/35.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/36.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/37.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/38.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/39.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/40.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/41.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/42.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/43.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/44.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/45.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/46.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/47.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/48.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/49.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/50.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/51.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/52.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/53.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/54.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/55.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/56.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/57.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/58.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/59.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/60.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/61.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/62.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/63.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/64.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/65.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/66.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/67.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/68.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/69.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/70.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/71.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/72.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/73.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/74.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/75.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/76.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/77.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/78.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/79.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/80.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/81.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/82.jpg,-1
Carduelis carduelis,0,Carduelis carduelis/83.jpg,-1
